TimeStamp, Role, Frame#, EyeGazePos, EyeGazeDir, GazeHitPoint, GazeHitNormal, DwellDuration, IsFixation, CurrentHitObject
23.16,,1214,"0.43,1.60,-0.53","-0.07,-0.12,0.99","0.29,1.35,1.59","-0.30,0.03,-0.95",0.1174908,True,Object2_2_3_2
23.21,,1217,"0.43,1.60,-0.53","-0.07,-0.10,0.99","0.28,1.39,1.60","0.00,0.00,-1.00",0.05128098,True,Cell(Clone)
23.28,,1221,"0.43,1.60,-0.53","-0.07,-0.07,0.99","0.29,1.45,1.59","0.00,0.00,-1.00",0.06562042,True,Quad
23.35,,1224,"0.44,1.60,-0.52","-0.06,-0.07,1.00","0.32,1.45,1.59","0.00,-0.01,-1.00",0.06783295,True,Quad
23.41,,1228,"0.44,1.60,-0.52","-0.05,-0.08,1.00","0.34,1.43,1.59","-0.24,0.00,-0.97",0.1332932,True,Quad
23.46,,1230,"0.43,1.60,-0.53","-0.05,-0.09,0.99","0.34,1.42,1.59","-0.16,0.00,-0.99",0.05293083,True,Quad
23.53,,1234,"0.43,1.60,-0.53","-0.05,-0.10,0.99","0.34,1.40,1.59","-0.32,0.00,-0.95",0.1165371,True,Quad
23.58,,1237,"0.42,1.60,-0.53","0.07,-0.08,0.99","0.58,1.45,1.59","-0.23,-0.25,-0.94",0.1738071,False,Quad
23.66,,1241,"0.42,1.60,-0.53","0.07,-0.09,0.99","0.58,1.42,1.59","-0.21,0.00,-0.98",0.07444382,True,Quad
23.71,,1245,"0.42,1.60,-0.52","0.07,-0.09,0.99","0.58,1.40,1.59","-0.36,0.00,-0.93",0.05526161,True,Quad
23.78,,1249,"0.43,1.60,-0.53","-0.04,-0.07,1.00","0.35,1.46,1.58","-0.29,-0.01,-0.96",0.1189232,False,Sphere
23.83,,1251,"0.43,1.60,-0.53","-0.04,-0.07,1.00","0.35,1.46,1.58","-0.32,-0.07,-0.94",0.05139542,True,Sphere
23.89,,1255,"0.43,1.60,-0.53","-0.04,-0.07,1.00","0.35,1.46,1.58","-0.34,0.01,-0.94",0.1166496,True,Sphere
23.96,,1258,"0.43,1.60,-0.52","0.03,-0.24,0.97","0.49,1.09,1.59","-0.10,0.00,-0.99",0.1826344,False,Quad
24.03,,1262,"0.43,1.60,-0.52","0.03,-0.24,0.97","0.49,1.08,1.59","-0.02,0.00,-1.00",0.06650925,True,Quad
24.09,,1264,"0.43,1.59,-0.52","0.03,-0.25,0.97","0.51,1.06,1.59","-0.41,0.03,-0.91",0.133112,True,Object4_3_1_3
24.15,,1267,"0.43,1.59,-0.52","0.03,-0.25,0.97","0.49,1.04,1.59","-0.07,0.27,-0.96",0.05230141,True,Quad
24.22,,1271,"0.43,1.59,-0.52","0.03,-0.25,0.97","0.49,1.04,1.59","-0.08,0.33,-0.94",0.07693672,True,Quad
24.28,,1275,"0.43,1.59,-0.52","0.03,-0.25,0.97","0.49,1.08,1.59","-0.12,-0.18,-0.98",0.131361,True,Quad
24.36,,1279,"0.42,1.59,-0.52","0.03,-0.24,0.97","0.49,1.08,1.59","-0.15,0.00,-0.99",0.07891273,True,Quad
24.41,,1283,"0.42,1.59,-0.52","0.03,-0.24,0.97","0.49,1.09,1.59","-0.22,0.00,-0.98",0.1328983,True,Quad
24.46,,1286,"0.42,1.59,-0.52","0.03,-0.24,0.97","0.49,1.09,1.59","-0.25,0.00,-0.97",0.1842957,True,Quad
24.53,,1289,"0.42,1.59,-0.52","0.03,-0.23,0.97","0.49,1.10,1.59","-0.41,0.00,-0.91",0.250227,True,Quad
24.61,,1293,"0.42,1.59,-0.52","-0.05,-0.15,0.99","0.32,1.27,1.58","0.08,0.25,-0.97",0.3288097,False,Capsule
